topic,replication_factor,partitions,config
supply-chain-moomin-replen-splitreplenlink-v1-dns,3,3
supply-chain-moomin-replen-v1,3,3
supply-chain-moomin-sales,3,6
supply-chain-pogo-ordered-items,3,3
supply-chain-pogo-orders-ack-private,3,3
supply-chain-pogo-orders-private,3,3
supply-chain-store-replen-private,3,3
supply-chain-replencal-2-dns,3,3
supply-chain-sim-direct-store-delivery-items-private,3,10
supply-chain-sim-inventory-adjustments-v1,3,3
supply-chain-sim-stock-count-items-private,3,10
supply-chain-sim-transfer-delivery-items-v1,3,3
supply-chain-sim-transfer-items-v1,3,3
supply-chain-svs-stores-eod-preprod-v1,3,10
supply-chain-svs-stores-eod-v1,3,10
supply-chain-svs-warehouses-eod-preprod-v1,3,10
supply-chain-svs-warehouses-eod-v1,3,10
supply-chain-transfers-preprod-private,3,3
supply-chain-transfers-private,3,3
supply-chain-waz-adapted-orders-preprod-private,3,10
supply-chain-waz-adapted-orders-private,3,10
supply-chain-waz-as400-HBMOFA-WEBORDAUH,3,3
supply-chain-waz-as400-PRODFA-TRANSMOOMP,3,3
supply-chain-waz-as400-PRODFA-VWORDDWAZ1-International-transfers,3,3
supply-chain-waz-as400-PRODFA-VWORDDWAZ5,3,3
supply-chain-waz-as400-RMSMODS-IN400WAZ,3,3
supply-chain-waz-dead-letter-preprod-private,3,10
supply-chain-waz-dead-letter-v1,3,10
supply-chain-waz-hard-reservations-preprod-private,3,10
supply-chain-waz-hard-reservations-private,3,10
supply-chain-waz-latest-positions-preprod-private,3,10
supply-chain-waz-latest-positions-private,3,10
supply-chain-waz-order-adapter-dlq-private,3,10
supply-chain-waz-position-changes-preprod-private,3,10
supply-chain-waz-position-changes-private,3,10
supply-chain-waz-position-changes-v1,3,10
supply-chain-waz-position-corrections-preprod-private,3,10
supply-chain-waz-position-corrections-private,3,10
supply-chain-waz-position-corrections-v1,3,10
supply-chain-waz-position-corrections-wh-preprod-private,3,10
supply-chain-waz-position-corrections-wh-private,3,10
supply-chain-waz-soft-reservations-preprod-private,3,10
supply-chain-waz-soft-reservations-private,3,10
supply-chain-waz-stock-adjustments-preprod-private,3,10
supply-chain-waz-stock-adjustments-private,3,10
supply-chain-waz-stock-alerts-v1,3,6
supply-chain-waz-stock-alerts-preprod-v1,3,6
supply-chain-waz-stock-level-dlq-preprod-private,3,10
supply-chain-waz-stock-level-dlq-private,3,10
supply-chain-waz-store-correction-page-preprod-private,3,6
supply-chain-waz-store-correction-page-private,3,6
supply-chain-zoning-preprod-v1,3,6
supply-chain-zoning-v1,3,6
